LC_Up_Regulated_Genes,Signalling,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3
Rbpms,LC_DCT_LC_UP,4.81,7.8,5.03,13.25,13.64,38.42,38.93,33.83
Rbp4,LC_DCT_LC_UP,35.13,33,14.82,33.9,35.42,370.21,414.62,376.63
Rbm38,LC_DCT_LC_UP,6.31,5.29,5.11,5.23,4.8,21.7,24.72,17.07
Rbm24,LC_DCT_LC_UP,1.23,1.17,0.75,0.75,0.71,6.66,5.3,7.71
Rasl12,LC_DCT_LC_UP,0.98,0.81,0.85,3.48,2.23,15.06,15.88,14.25
Rapsn,LC_DCT_LC_UP,1.85,1.67,1.43,2.44,2.22,10.37,14.7,10.05
Raph1,LC_DCT_LC_UP,3.84,4.26,4.6,6.9,7.57,25.01,20.52,26.75
Rapgef3os2,LC_DCT_LC_UP,0.09,0,0,0.23,0,3.3,2.59,2.94
Rapgef3,LC_DCT_LC_UP,2.07,1.5,1.71,4.48,4.26,23.94,30.2,25.25
Ramp2,LC_DCT_LC_UP,11.56,16.86,9.28,36.96,39.29,227.9,262.38,218.54
Rabac1,LC_DCT_LC_UP,157.78,149.15,116.64,320.68,297.21,670.45,702.07,609.59
Rab3a,LC_DCT_LC_UP,3.82,5.54,4.24,11.39,9.51,31.58,38.32,29.74
Rab23,LC_DCT_LC_UP,3.11,3,4.57,5.87,5.24,16.03,18.52,18.85
Rab20,LC_DCT_LC_UP,3.88,4.21,4.44,5.91,5.38,13.55,18.4,13.84
Rab17,LC_DCT_LC_UP,0.53,1.03,0.36,0.33,0.5,10.36,14.51,11.13
Pxmp2,LC_DCT_LC_UP,6.57,5.98,5.56,4.21,4.99,44.65,46.7,50.38
Ptx3,LC_DCT_LC_UP,0.59,0.67,0.48,1.68,1.92,34.63,41.95,33.16
Ptprm,LC_DCT_LC_UP,0.42,0.47,0.71,2.38,2.11,8.77,8.6,8.53
Ptp4a3,LC_DCT_LC_UP,7.15,7.25,5.93,10.38,9.72,32.76,35.29,32.02
Ptms,LC_DCT_LC_UP,168.36,162.45,166.56,243.53,248.98,613.97,590.84,602.08
Ptgis,LC_DCT_LC_UP,0.34,0.68,0.1,1.31,1.27,160.73,177.5,154.99
Ptgfr,LC_DCT_LC_UP,1.16,1.34,0.59,4.48,4.16,25.07,27.9,21.68
Ptger1,LC_DCT_LC_UP,0.48,0.45,0.48,1.27,0.99,6.25,8.28,6.46
Prss23,LC_DCT_LC_UP,14.19,12.89,9.53,32.01,28.36,70.07,65.06,67.91
Prrx2,LC_DCT_LC_UP,1.3,1.26,0.98,11.41,11.43,55.74,63.19,49.49
Prrx1,LC_DCT_LC_UP,6.37,7.47,4.61,16.05,16.42,83.84,89.66,93.1
Prr33,LC_DCT_LC_UP,3.77,2.11,2.65,1.42,0.65,18.24,19.03,14.79
Prr32,LC_DCT_LC_UP,0.21,0.09,0.21,0.26,0.2,2.96,1.78,3.41
Proscos,LC_DCT_LC_UP,0.62,0.78,0.89,1.06,1.59,6.04,7.66,6.12
Prkg1,LC_DCT_LC_UP,0.34,0.07,0.61,0.61,0.37,3.91,3.3,3.15
Prkd1,LC_DCT_LC_UP,0.31,0.32,0.26,0.84,0.58,5.75,5.14,4.94
Prkar1b,LC_DCT_LC_UP,0.37,0.85,0.36,1.17,1.23,5.59,6.1,6.22
Prg4,LC_DCT_LC_UP,0.69,1.12,0.35,1.11,0.73,962.56,927.41,904.14
Prelp,LC_DCT_LC_UP,8.62,7.91,5.64,21.21,20.74,229.55,248.31,225.92
Prdm6,LC_DCT_LC_UP,0.14,0.14,0.03,0.1,0.03,2.21,2.21,2.25
Prdm5,LC_DCT_LC_UP,0.99,1.4,0.89,2.54,3.08,9.56,9.75,11.09
Prdm16,LC_DCT_LC_UP,1.68,0.67,1.17,2.64,2.84,14.53,19.55,15.55
Ppp1r3c,LC_DCT_LC_UP,6.06,5.48,4.06,1.24,1.55,22.98,22.11,22.85
Ppp1r1b,LC_DCT_LC_UP,0.13,0.16,0.34,0.44,0.24,439.16,485.43,431.97
Ppp1r15a,LC_DCT_LC_UP,42.88,41.53,30.18,26.65,23,142.74,152.82,134.39
Ppp1r12b,LC_DCT_LC_UP,1.9,1.36,1.95,3.24,3.36,13.77,11.5,12.6
Ppm1m,LC_DCT_LC_UP,3.61,5.72,2.97,12.51,11.97,33.64,40.17,35.09
Ppm1j,LC_DCT_LC_UP,0.98,1.64,0.47,1.02,0.84,5.71,10.02,6.71
Ppapdc3,LC_DCT_LC_UP,2.81,3.01,1.68,3.17,2.61,10.35,15.68,11.52
Pou6f1,LC_DCT_LC_UP,0.77,0.74,0.39,1.64,1.53,7.41,7.4,6.27
Pou3f3,LC_DCT_LC_UP,0.01,0,0.01,0.14,0.13,4.76,3.2,5.44
Popdc2,LC_DCT_LC_UP,1.52,0.91,1.03,0.69,0.46,7.12,9.34,6.89
Pnrc1,LC_DCT_LC_UP,29.58,31.74,28.85,52.89,41.1,136.8,133.87,135.43
Pnpla2,LC_DCT_LC_UP,36.39,36.87,22.86,44.36,37.46,131.38,152.16,126.1
Pnmal2,LC_DCT_LC_UP,0.05,0.1,0.05,0.44,0.37,3.15,3.97,3.78
Pmm1,LC_DCT_LC_UP,36.06,31.09,28.42,40.82,37.48,96.96,115.13,98.32
Plin1,LC_DCT_LC_UP,8.81,9.11,4.49,16.72,13.56,43.67,56.44,41.31
Plce1,LC_DCT_LC_UP,0.35,0.71,0.38,0.57,0.85,4.97,4.97,5.51
Plcb1,LC_DCT_LC_UP,1.03,1.16,2.66,1.37,2.13,9.84,11.47,9.13
Platr32,LC_DCT_LC_UP,0,0,0,0.07,0,6.78,5.95,9.39
Platr22,LC_DCT_LC_UP,0.05,0.06,0.05,0.02,0,4.8,4.21,5.14
Pla2g5,LC_DCT_LC_UP,0.26,0.83,0.51,10.22,11.1,92.5,91.45,99.32
Pkd2,LC_DCT_LC_UP,3.35,2.71,2.59,4.92,5.44,18.2,16.25,17.37
Pkd1,LC_DCT_LC_UP,0.72,0.68,0.53,2.57,2.05,13.28,14.38,12.36
Pitx3,LC_DCT_LC_UP,0.33,0.68,0.36,0.32,0.56,3.47,4.09,4.24
Pitx2,LC_DCT_LC_UP,1.08,1.06,1.28,0.42,0.45,17.72,18.14,17.38
Pitpnm3,LC_DCT_LC_UP,0.19,0.27,0.29,0.8,0.81,15.91,15.87,14.56
Pir,LC_DCT_LC_UP,3.51,3.94,3.62,14.87,16.49,37.08,45.44,39.72
Pink1,LC_DCT_LC_UP,46.37,45.39,34.01,102.54,86.46,301.79,369.21,291.68
Pik3ip1,LC_DCT_LC_UP,7.54,9.26,6.73,12.67,13.57,55.04,50.6,44.7
Piezo2,LC_DCT_LC_UP,0.49,0.43,0.38,0.72,0.57,5.67,6.05,6.05
Pianp,LC_DCT_LC_UP,1.75,1.36,1.14,5.5,3.5,21.76,23.52,21.36
Phyhipl,LC_DCT_LC_UP,0.27,0,0.26,0.11,0.18,3.35,6.41,4.62
Phxr4,LC_DCT_LC_UP,1.97,3.03,1.92,2.5,2.73,22.12,21.9,22.87
Phldb1,LC_DCT_LC_UP,4.82,4.58,3.91,15.06,12.79,44.37,53.08,43.57
Phlda1,LC_DCT_LC_UP,11.56,11.97,15.21,3.04,3.23,43,39.54,50
Phf20,LC_DCT_LC_UP,5.73,4.48,12.46,8.67,13.34,43.22,35.59,35.76
Phf1,LC_DCT_LC_UP,2.68,2.53,1.36,8.6,7.42,18.95,22.75,19.69
Pfkm,LC_DCT_LC_UP,28.81,26.09,21.87,16.26,16.14,148.72,162.2,144.46
Pfkl,LC_DCT_LC_UP,9.86,8.42,10.01,8.27,9.48,34.24,33.18,27.6
Penk,LC_DCT_LC_UP,18.25,17.07,17.4,33.38,36.21,1676.86,1951.75,1695.04
Peg3,LC_DCT_LC_UP,2.03,2.32,2.24,5.51,5.34,14.56,14.59,14.42
Peg13,LC_DCT_LC_UP,1.44,1.34,0.87,1.56,1.4,6.06,5.74,6.32
Pdzrn4,LC_DCT_LC_UP,1.02,0.97,1.07,3.15,2.55,8.39,9.68,8.51
Pdlim5,LC_DCT_LC_UP,21.01,18.88,18.36,16.37,17.65,81.54,85.74,78.71
Pdlim4,LC_DCT_LC_UP,17.95,20.18,15.13,40.65,33.98,84.07,98.82,84.26
Pdk2,LC_DCT_LC_UP,17.94,20.4,15.35,14.31,13.55,53.12,56.78,50.64
Pdgfc,LC_DCT_LC_UP,0.55,0.56,0.64,2.77,2.61,13.15,12.7,14.98
Pde4dip,LC_DCT_LC_UP,28.29,32.03,18.64,17.76,16.73,204.78,158.49,199.3
Pde4d,LC_DCT_LC_UP,1.94,1.87,2.53,5.09,4.93,16.19,16.21,16.27
Pde4b,LC_DCT_LC_UP,3.19,3.24,4.93,11.98,9.52,34.59,32.82,31.95
Pde4a,LC_DCT_LC_UP,0.85,0.77,0.8,2.76,2.92,15.95,20.45,16.3
Pde1a,LC_DCT_LC_UP,1.13,1.71,0.71,2.62,2.99,11.92,10.12,11.28
Pcsk6,LC_DCT_LC_UP,6.21,5.29,6.05,9.43,8.92,22.52,25.98,24.21
Pcp4l1,LC_DCT_LC_UP,3,2.71,3.2,10.62,11.26,66.86,69.97,70.35
Pcolce2,LC_DCT_LC_UP,5.08,5.19,3.07,18.06,21.42,366.8,355.28,357.18
Pcdh9,LC_DCT_LC_UP,0.37,0.26,0.37,0.83,1.09,19.78,19.72,17.5
Pcbp4,LC_DCT_LC_UP,9.84,9.29,6.92,15.85,14.76,49.19,62.16,55.32
Pbxip1,LC_DCT_LC_UP,14.02,12.22,10.19,11.86,11.21,74.33,88.96,76.05
Pax9,LC_DCT_LC_UP,0,0,0.06,0.06,0,2.08,3.24,2.33
Parva,LC_DCT_LC_UP,5.34,5.72,5.8,9.27,8.63,26.07,26.45,27.14
Parp3,LC_DCT_LC_UP,5.98,3.92,3.72,13.45,11.39,33.57,42.24,31.57
Papss2,LC_DCT_LC_UP,3.14,3.62,2.38,6.14,5.34,21.02,21.73,21.02
Pappa2,LC_DCT_LC_UP,0.7,0.12,0.28,0.25,0.28,3.94,3.24,2.41
Pantr1,LC_DCT_LC_UP,0,0,0.03,0.58,0.39,36.07,32.9,36.68
Pamr1,LC_DCT_LC_UP,3.53,3.69,2.01,3.84,3.43,14.8,19.31,13.83
Pam,LC_DCT_LC_UP,35.97,34.36,39.15,93.49,98.93,1009.91,951.06,983.55
Padi2,LC_DCT_LC_UP,1.04,1.01,1.61,0.83,0.58,6.04,5.85,5.65
Pacsin3,LC_DCT_LC_UP,15.14,12.91,11.06,33.92,28.73,76.97,92.13,75.57
P4htm,LC_DCT_LC_UP,0.95,0.45,0.52,2.89,2.17,14.88,18.85,14.2
P3h3,LC_DCT_LC_UP,3.65,3.97,3.29,9.01,8.73,35.75,38.17,32.25
P2rx6,LC_DCT_LC_UP,0.45,0.19,0.4,0.31,0.52,5.15,4.54,4.26
Otos,LC_DCT_LC_UP,0.13,0.16,0.24,1.02,1.18,83.25,86.69,74.55
Otor,LC_DCT_LC_UP,0,0.11,0,0,0,3.37,2.98,2.88
Otoa,LC_DCT_LC_UP,1.08,0.81,1.58,0.1,0.08,8.7,11.31,6.71
Osgin2,LC_DCT_LC_UP,3.28,3.73,6.11,5.79,6.09,35.67,37.71,34.22
Osgin1,LC_DCT_LC_UP,5.56,5.1,4.57,6.97,6.14,27.69,34.92,27.82
Osbpl6,LC_DCT_LC_UP,0.31,0.24,0.47,0.67,1.18,8.15,8.43,9.92
Optn,LC_DCT_LC_UP,7.46,6.26,7.35,8.08,5.99,25.37,28.37,25.59
Omd,LC_DCT_LC_UP,2.29,1.79,2.2,8.97,10.27,283.93,259.35,300.13
Olfml1,LC_DCT_LC_UP,2.26,1.75,1.84,9.79,10.2,26.05,29.69,25.41
Ogn,LC_DCT_LC_UP,14.14,14.45,6.82,17.76,17.8,145.75,121.32,154.49
Ocel1,LC_DCT_LC_UP,1.54,2.23,1.6,8.24,5.82,28.51,30.99,29.04
Obsl1,LC_DCT_LC_UP,2.59,1.98,1.44,5.42,5.11,17.26,24.16,14.58
Obscn,LC_DCT_LC_UP,3.11,3.11,2.24,1.14,0.98,32.5,39.69,29.83
Oaz2-ps,LC_DCT_LC_UP,0,0,0,0,0.2,1.78,3.99,2.76
Ntrk2,LC_DCT_LC_UP,2.72,2.97,1.8,3.57,4,12.03,12.89,12.5
Ntng2,LC_DCT_LC_UP,0.69,0.48,0.38,0.86,0.78,4.67,5.26,5.05
Nrxn2,LC_DCT_LC_UP,0.83,1.05,0.96,1.8,2.28,9.72,11.34,9.79
Nrep,LC_DCT_LC_UP,28.98,25.99,26.15,33.62,35.13,92.33,86.74,95.52
Nrap,LC_DCT_LC_UP,5.66,4.98,2.81,2.41,2.34,65.43,71.54,62.38
Nr4a3,LC_DCT_LC_UP,0.2,0.19,0.18,0.2,0.08,1.69,3.83,2.77
Nr4a2,LC_DCT_LC_UP,0.53,0.6,0.68,1.9,2.11,18.43,16.87,20.09
Nr4a1,LC_DCT_LC_UP,6.76,6.75,7.41,5.38,6.5,352.37,384.91,355.08
Nr3c2,LC_DCT_LC_UP,0.18,0.25,0.32,1.31,0.6,6.37,5.39,5.33
Nr2f1,LC_DCT_LC_UP,0.13,0.51,0.13,1.1,0.83,5.42,5.43,5.53
Nr1h3,LC_DCT_LC_UP,4.07,3.81,2.36,5,3.93,13.12,17.76,13.3
Nqo1,LC_DCT_LC_UP,4.44,4.38,4.83,9.01,11.68,34.26,29.64,32.68
Nptxr,LC_DCT_LC_UP,0.62,0.64,0.66,0.89,0.64,5.4,5.2,4.39
Npr2,LC_DCT_LC_UP,2.65,3.56,2.32,7.44,8.12,179.68,206.52,176.21
Nphp1,LC_DCT_LC_UP,6.77,5.47,4.59,8.86,7.56,21.1,23.59,23.87
Npdc1,LC_DCT_LC_UP,18.18,20.23,13.39,57.94,48.99,117.24,143.16,114.62
Notum,LC_DCT_LC_UP,3.72,3.82,7.25,2.71,2.45,48.61,65.09,48.61
Nol3,LC_DCT_LC_UP,4.13,4.26,3.03,5.6,5.6,18.15,19.38,16.31
Nog,LC_DCT_LC_UP,0.69,0.65,0.78,2.51,1.66,23.52,24.23,23.21
Nnt,LC_DCT_LC_UP,2.53,2.73,2.07,5.27,5.07,26.96,25.16,26.76
Nnat,LC_DCT_LC_UP,20.69,23.5,12.22,25.94,24.18,226.84,251.54,240.03
Nmrk2,LC_DCT_LC_UP,1.99,2.35,0.75,0.57,0.64,11.27,12.62,10.03
Ninj2,LC_DCT_LC_UP,0,0.13,0.1,0.1,0.1,1.69,3.13,1.43
Ninj1,LC_DCT_LC_UP,36.38,35.31,23.88,74.73,67.31,247.65,298.39,231.58
Nicn1,LC_DCT_LC_UP,5.7,5.52,7.8,6.07,6.04,17.5,25.97,19.48
Ngf,LC_DCT_LC_UP,0.35,0.34,0.07,2.41,1.96,10.72,10.84,7.33
Ngef,LC_DCT_LC_UP,1.45,1.41,2.25,5.03,5.15,18.72,24.66,17.7
Nfkbiz,LC_DCT_LC_UP,1.7,1.81,2.09,3.16,2.75,39.05,39.32,38.99
Nfkbia,LC_DCT_LC_UP,73.06,74.95,74.54,128.25,122.82,269.82,312.15,269.31
Nfix,LC_DCT_LC_UP,53.7,46.89,42.96,60.18,79.3,200.18,208.25,190.81
Nfatc2,LC_DCT_LC_UP,1.51,1.4,0.84,3.38,3.11,29.87,30.22,28.42
Nexn,LC_DCT_LC_UP,9.63,9.57,8.26,4.94,3.65,79.4,70.86,78.27
Neurl1a,LC_DCT_LC_UP,1.33,1.32,0.63,0.83,0.68,4.76,7.32,4.29
Neo1,LC_DCT_LC_UP,5.69,5.63,6.74,5.52,5.04,20.52,20.95,20.36
Nenf,LC_DCT_LC_UP,62.99,60.51,39.38,117.47,99.71,227.26,280.61,231.74
Nell2,LC_DCT_LC_UP,0.03,0.03,0.02,0.38,0.49,3.59,2.74,3.22
Nedd4l,LC_DCT_LC_UP,1.01,0.95,1.13,1.43,1.44,9.45,9.43,9.52
Necab3,LC_DCT_LC_UP,0.32,0.32,0.19,0.48,0.6,4.48,3.39,3.63
Neb,LC_DCT_LC_UP,86.04,87.03,73.59,23.5,23.95,498.35,545.22,485.35
Ndufaf5,LC_DCT_LC_UP,5.19,4.4,4.48,5.85,6.62,19.09,21.03,19.89
Ndrg2,LC_DCT_LC_UP,82.89,81.78,83.36,44.46,45.98,349.14,369.31,342.48
Ndp,LC_DCT_LC_UP,0.22,0.28,0.3,0.95,0.94,20.57,23.44,21.99
Ndn,LC_DCT_LC_UP,10.95,11.02,5.41,27.94,22.75,72.75,83.62,68.69
Nctc1,LC_DCT_LC_UP,2.35,2.52,1.78,1.26,1.33,25.53,26.03,24.27
Ncor2,LC_DCT_LC_UP,7.82,6.86,7.09,8.56,7.34,25.02,27.76,20.42
Ncmap,LC_DCT_LC_UP,3.15,3.71,4.09,29.46,28.54,139.21,155.73,140.69
Myoz2,LC_DCT_LC_UP,2.23,2.79,3.23,1.97,2.3,84.82,94.86,89.24
Myot,LC_DCT_LC_UP,16.69,15.32,15.8,5.32,4.9,73.58,81.95,73.64
Myom3,LC_DCT_LC_UP,1.35,1.91,1.24,2.35,1.79,25.06,26.37,25.09
Myom2,LC_DCT_LC_UP,6.66,6.28,5.31,1.83,1.34,40.06,37.78,30.11
Myom1,LC_DCT_LC_UP,4.41,4.48,2.72,1.42,1.47,24.63,26.93,25.32
Myog,LC_DCT_LC_UP,0.7,0.63,0.85,0.34,0.37,6.32,5.86,5.54
Myod1,LC_DCT_LC_UP,0.2,0.3,0.32,0.2,0.22,2.78,3.86,3.72
Myoc,LC_DCT_LC_UP,3.15,4.04,1.29,15.06,13.87,1805.26,1917.71,1760.42
Myo1d,LC_DCT_LC_UP,8.98,9.38,8.25,4.96,4.19,27.49,29.83,27.06
Myo18b,LC_DCT_LC_UP,2.14,2.05,1.05,0.51,0.5,12.31,13.96,14.17
Mylpf,LC_DCT_LC_UP,807.81,791.66,387.07,228.14,192.98,3827.39,4329.1,3619.63
Mylk2,LC_DCT_LC_UP,4.51,4.93,3.99,1.94,1.64,17.05,19.38,17.45
Myl4,LC_DCT_LC_UP,4.68,5.64,3.29,6.56,4.88,19.75,24.12,21.77
Myl3,LC_DCT_LC_UP,0.55,0.66,0.27,1.49,0.79,69.69,87.36,80.96
Myl2,LC_DCT_LC_UP,0,0.17,0,1.35,1.31,241.32,249.35,229.99
Myh8,LC_DCT_LC_UP,0.28,0.15,0.57,0.17,0.25,7.06,8.66,6.57
Myh7,LC_DCT_LC_UP,0.05,0,0.03,0.11,0.07,9.38,10.6,9.05
Myh3,LC_DCT_LC_UP,0.01,0.01,0.01,0.12,0.04,58.79,68.47,56.52
Myh2,LC_DCT_LC_UP,3.51,2.89,3.02,0.44,0.53,139.35,157.05,140.6
Myh10,LC_DCT_LC_UP,3.27,3.96,3.89,2.67,2.99,23.51,24.95,25.53
Myh1,LC_DCT_LC_UP,20.78,20.63,22.9,11.36,11.07,374.57,417.9,368.67
Myf6,LC_DCT_LC_UP,3.62,4.24,3.3,0.94,1.56,17.54,15.27,20.69
Mybpc1,LC_DCT_LC_UP,12.97,13.2,12.47,10.79,12.09,248.9,287.83,248.76
Mxra8,LC_DCT_LC_UP,16.59,13.07,10.4,45.46,43.65,188.51,246.93,186.24
Mvb12b,LC_DCT_LC_UP,1.4,1.72,1.56,2.62,2,15.03,12.57,13.47
Mustn1,LC_DCT_LC_UP,9.47,11.39,7.89,24.23,25.26,121.22,113.84,121.59
Musk,LC_DCT_LC_UP,0.31,0.31,0.27,0.42,0.56,5.82,7.86,5.87
Mtus2,LC_DCT_LC_UP,1.26,0.93,0.52,0.56,0.3,5.78,5.12,5.39
Mtss1l,LC_DCT_LC_UP,1.73,2.04,1.59,1.55,1.3,14.03,13.64,13.03
mt-Nd5,LC_DCT_LC_UP,259.38,262.22,440.73,309.83,326.19,1059.32,861.14,1132.71
mt-Nd4,LC_DCT_LC_UP,714.76,715.61,1197.61,755.9,797.61,2895.29,2004.59,3068.83
Mtfp1,LC_DCT_LC_UP,2.93,2.61,3.25,2.12,2.32,12.16,12.8,11.93
Msx1,LC_DCT_LC_UP,26.68,24.68,41.68,13.86,12.91,134.99,147.23,135.47
Msrb2,LC_DCT_LC_UP,2.58,3.16,2.95,4.39,4.97,18.44,18.9,19.02
Msmp,LC_DCT_LC_UP,0,0,0.13,0.67,0.63,632.73,720.16,652
Mrps6,LC_DCT_LC_UP,32.08,34.62,23.83,27.8,26.59,93.96,105.36,101.61
Mrgprg,LC_DCT_LC_UP,0,0,0,0,0,1.62,1.88,1.81
Mrc2,LC_DCT_LC_UP,1.95,1.29,0.81,4.62,4.12,23.32,25.05,22.65
Mras,LC_DCT_LC_UP,1.67,1.64,0.83,4.47,5.03,20.68,21.37,20.72
Mpped2,LC_DCT_LC_UP,0.98,0.89,1.63,1.01,1.15,11.11,10.68,9.16
Mpp6,LC_DCT_LC_UP,7.07,7.1,4.71,7.04,7.05,21.01,24.93,23.29
Mpdz,LC_DCT_LC_UP,2.08,2.18,2.7,3.69,3.61,12.23,13.42,13.98
Morc2a,LC_DCT_LC_UP,6.53,5.35,7.57,7.36,7.21,19.41,24.05,21.13
Mogat1,LC_DCT_LC_UP,1.04,2.05,0.94,0.15,0.1,20.92,24.11,15.25
Mlxipl,LC_DCT_LC_UP,1.01,1.42,1.1,1.04,1.14,12.59,10.47,9.97
Mlip,LC_DCT_LC_UP,5.25,4.52,2.11,4.34,3.73,21.51,26.8,28.82
Mlc1,LC_DCT_LC_UP,0,0.03,0.03,0.09,0.07,3.47,3.96,4
Mkx,LC_DCT_LC_UP,0.62,0.68,1.05,1.19,1.49,20.76,32.24,21.24
Mir143hg,LC_DCT_LC_UP,0.85,0.55,1,2.65,3.08,19.14,15.3,16.33
Mief2,LC_DCT_LC_UP,3.88,4.26,2.88,5.33,4.5,17.6,20.03,15.78
Mical1,LC_DCT_LC_UP,16.67,15.35,11.26,14.26,18.06,41.12,48.4,41.42
Mia,LC_DCT_LC_UP,3.76,3.4,2.65,1.94,2.41,603.57,675.43,601.38
Mgp,LC_DCT_LC_UP,128.44,118.1,35.94,86.48,75.55,1694.43,1858.19,1640.89
Mfi2,LC_DCT_LC_UP,0.08,0.13,0.2,0.15,0.08,92.62,104.63,89.28
Mfge8,LC_DCT_LC_UP,70.63,73.13,61.39,84.93,80.02,428.08,500.24,406.11
Metrn,LC_DCT_LC_UP,2.89,2.1,2.2,8.5,5.5,15.88,22.87,17.64
Mertk,LC_DCT_LC_UP,1.58,1.8,1.82,2.7,2.53,10.91,10.55,10.92
Meis1,LC_DCT_LC_UP,3.43,4.11,3.83,10.23,10.89,31.23,27.08,31.74
Mef2c,LC_DCT_LC_UP,15.4,15.71,17.6,14.55,15.17,234.43,221.7,264.14
Medag,LC_DCT_LC_UP,5.77,5.82,4.88,9.38,9.22,36.19,35.09,33.89
Mecom,LC_DCT_LC_UP,0.5,0.41,0.64,1.11,0.62,14.04,12,11.66
Me3,LC_DCT_LC_UP,2,1.61,2.14,3.69,4.46,18.65,20.03,18.11
Mdk,LC_DCT_LC_UP,5.32,4.88,3.34,4.75,5.43,15.04,19.56,14.85
Mcoln2,LC_DCT_LC_UP,0.96,0.28,0.29,1.76,1.34,10.07,10.62,9.37
Mcl1,LC_DCT_LC_UP,24.72,24.75,20.95,25.52,27.02,85.16,76.19,84.45
Mbtps2,LC_DCT_LC_UP,2.59,3.79,5.31,5.75,6.39,26.57,18.23,21.44
Mb,LC_DCT_LC_UP,34.61,33.54,22.71,37.76,30.85,2946.29,3325.62,2846
Matn4,LC_DCT_LC_UP,0.91,1.29,1.37,6.53,4.41,14.13,17.79,14.39
Matn3,LC_DCT_LC_UP,0,0,0,0.13,0.06,14.3,14.49,15.11
Matn1,LC_DCT_LC_UP,0,0,0,0,0,1.5,2.01,1.42
Mast2,LC_DCT_LC_UP,2.86,3.26,2.7,4.46,3.97,13.61,14.69,13.77
Marveld1,LC_DCT_LC_UP,7.03,7.41,3.97,20.05,18.96,48.97,54.9,46.99
Mapk1ip1,LC_DCT_LC_UP,3.67,2.98,3.12,5.2,5.14,15.72,19.52,15.89
Mapk12,LC_DCT_LC_UP,7.74,6.12,5.03,7.9,8.12,28.03,30.51,28.86
Map7d2,LC_DCT_LC_UP,0.11,0.27,0.53,0.24,0.22,6.86,8.17,6.79
Map1s,LC_DCT_LC_UP,1.74,1.57,0.95,4.5,2.76,11.69,13.45,10.91
Maob,LC_DCT_LC_UP,3.84,3.17,3.31,12.23,11.96,35.32,36.57,34.98
Mansc4,LC_DCT_LC_UP,0,0.17,0.16,1.49,1.3,9.61,14.02,9.79
Maged2,LC_DCT_LC_UP,9.38,10.17,8.6,46.63,39.99,153.65,179.44,156.6
Maged1,LC_DCT_LC_UP,29.47,28.5,28.29,45.57,47.17,100.12,116.04,96.6
Mafk,LC_DCT_LC_UP,6.04,6.26,6.16,10.57,8.51,24.92,25.03,24.68
Mafb,LC_DCT_LC_UP,28.93,28.88,26.4,32.73,28.72,95.17,109.24,92.81
Macrod1,LC_DCT_LC_UP,6.23,6.84,10.68,19.14,20.7,64.29,84.27,65.5
Mab21l2,LC_DCT_LC_UP,0.11,0.1,0.08,0.13,0.17,20.75,21.25,18.73
Lynx1,LC_DCT_LC_UP,2.85,3.29,2.24,7.5,6.95,21.11,24.78,19.58
Luzp2,LC_DCT_LC_UP,0.04,0.05,0.14,0.13,0.08,5.87,6.62,6.33
Ltbp4,LC_DCT_LC_UP,37.57,33.66,34.87,48.34,44.72,197.89,220.91,190.86
Ltbp3,LC_DCT_LC_UP,9.02,8.31,6.48,5.81,4.39,45.52,59.82,45.57
Lsmem1,LC_DCT_LC_UP,1.14,1.12,0.76,0.57,0.24,8.66,9.28,7.81
Lsamp,LC_DCT_LC_UP,0.53,2.1,1.01,6.91,4.99,23.62,20.97,22.1
Lrrc52,LC_DCT_LC_UP,0,0,0,0.11,0.13,2.94,2.5,3
Lrrc39,LC_DCT_LC_UP,0.87,1.28,0.94,0.49,0.61,5.87,5.21,6.32
Lrrc38,LC_DCT_LC_UP,0.4,0.54,0.65,0.25,0.14,3.44,3.74,3.39
Lrrc30,LC_DCT_LC_UP,0.66,0.42,1.29,0.26,0.27,11.73,12.68,10.74
Lrrc14b,LC_DCT_LC_UP,0.24,0.22,0.1,0.07,0,3.67,3.11,2.74
Lrp1,LC_DCT_LC_UP,26.17,23.33,19.04,60.79,60.2,155.01,161.62,160.99
Loxl4,LC_DCT_LC_UP,0.26,0.28,0.15,3.32,2.6,38,43.75,40.08
Loxl3,LC_DCT_LC_UP,0.7,1.03,0.28,1.75,1.61,40.14,46.29,37.7
Lmod3,LC_DCT_LC_UP,5.08,5.46,2.74,0.99,1.39,25.76,26.36,27.5
Lmod2,LC_DCT_LC_UP,4.56,3.53,3.24,0.61,0.65,47.46,46.54,46.43
Lmcd1,LC_DCT_LC_UP,8.11,8.6,7.02,10.91,8.84,222.31,270.98,206.46
Lincpint,LC_DCT_LC_UP,0.22,0.44,0.57,2.9,3.23,12.27,12.66,15.67
Lims2,LC_DCT_LC_UP,6.34,6.99,5.63,14.33,13.61,46.65,60.33,44.1
Lhx8,LC_DCT_LC_UP,0.22,0.11,0.09,0.24,0.24,2.38,2.5,3.01
Lhfp,LC_DCT_LC_UP,18.3,17.2,17.82,43.41,35.53,139.32,146.26,131.68
Lect1,LC_DCT_LC_UP,0.99,0.42,0,0.9,1.13,233.73,257.66,224.6
Ldlrad4,LC_DCT_LC_UP,0.99,1.35,1.24,2.05,2.25,10.36,12.41,10.05
Ldlrad3,LC_DCT_LC_UP,3.68,4.42,6.61,7.03,6.93,29.55,27.13,30.82
Ldhb,LC_DCT_LC_UP,55.46,60,56.75,116.05,105.8,373.96,439.22,363.72
