count1.Gene_Name,LC1,LC2,LC3,ERST2,ERST3,DCT1,DCT2
Pdgfc,13.15,12.7,14.98,2.77,2.61,0.55,0.56
Gm2260,13.09,7.01,9.7,0,2.47,0,0
Gm37140,12.92,8.24,11.47,1.09,0.9,0.13,0
Clip3,12.81,12.2,12.9,1.76,1.79,1.09,0.98
Kcnc4,12.78,12.94,11.42,1.08,0.72,0.23,0.28
Cxcl2,12.76,8.65,10.93,0.59,0.35,0.07,0
Erg,12.62,14.25,12.88,1.47,0.81,0.34,0.6
Mlxipl,12.59,10.47,9.97,1.04,1.14,1.01,1.42
Gm17455,12.51,17.8,11.44,1.82,1.37,0.88,1.58
Bcl2,12.37,12.91,13.43,2.49,2.27,1.69,1.69
Myo18b,12.31,13.96,14.17,0.51,0.5,2.14,2.05
Hist1h2bl,12.31,8.49,15.66,0.66,0,0.51,1.64
Unc45b,12.3,17.75,12.01,2.17,2.58,2.28,2.44
Gm17056,12.04,11.02,10.25,0.37,0.32,0.19,0.12
Sox8,12.02,11.58,10.56,0.83,0.55,0.07,0.23
Camk2b,11.98,11.68,10.94,1.75,1.56,1.46,1.06
5330406M23Rik,11.92,11.24,11.8,2.35,2.08,0.92,0.47
Daam2,11.84,12.26,11.4,1.39,1.41,0.47,0.28
Lrrc30,11.73,12.68,10.74,0.26,0.27,0.66,0.42
Rgs7bp,11.62,11.18,11.47,1.2,1.02,0.41,0.31
Fam124a,11.44,12.96,14.47,2.24,2.06,0.65,0.72
Nmrk2,11.27,12.62,10.03,0.57,0.64,1.99,2.35
Cdon,11.26,10.71,11.61,1.94,2.03,0.77,0.9
F930015N05Rik,11.19,12.99,9.64,0.14,0.24,0,0.08
Mpped2,11.11,10.68,9.16,1.01,1.15,0.98,0.89
Cap2,11.06,11.68,11.39,0.91,0.7,2.19,2.25
Il6,10.95,8.87,10.66,0.32,0.21,0.14,0.39
Syde1,10.95,11.05,10.91,2.14,2.11,1.62,1.43
Sdk2,10.87,13.51,12.08,0.5,0.78,0.29,0.31
Gm7293,10.84,10.46,9.56,0.05,0.1,0.05,0.08
Flnc,10.75,12.46,10.7,0.67,0.55,1.56,1.55
A2m,10.59,12.54,11.99,0.08,0.01,0,0
Itga10,10.52,11.22,10.92,0.2,0.1,0.18,0.12
Acsl6,10.46,10.73,8.4,0.53,0.46,0.19,0.24
Ier5l,10.46,12.55,10.88,1,1.03,1.44,1.45
Dusp26,10.41,13.61,9.32,1.73,1.72,1.48,2.14
Rapsn,10.37,14.7,10.05,2.44,2.22,1.85,1.67
Ldlrad4,10.36,12.41,10.05,2.05,2.25,0.99,1.35
Rab17,10.36,14.51,11.13,0.33,0.5,0.53,1.03
Gm23053,10.36,38.17,12.04,0,0,0,0
Gm37352,10.32,12.49,10.33,1.6,0.77,0.52,0.37
Mcoln2,10.07,10.62,9.37,1.76,1.34,0.96,0.28
Zfp423,9.98,15.25,9.55,1.39,1.16,0.39,0.54
Kcnc1,9.89,9.29,7.73,0.47,0.21,0.19,0.03
Plcb1,9.84,11.47,9.13,1.37,2.13,1.03,1.16
Azgp1,9.82,11.2,10.47,0.18,0.06,0,0.19
Chrnb1,9.79,13.18,9.86,1.34,1.34,1.62,1.72
Crhr2,9.72,10.27,10.36,0.74,0.49,0.67,0.79
Nrxn2,9.72,11.34,9.79,1.8,2.28,0.83,1.05
Mansc4,9.61,14.02,9.79,1.49,1.3,0,0.17
Gm42959,9.58,3.52,18.89,2.02,1.26,0,0
9630013D21Rik,9.55,6.99,8.79,0.9,2.21,0.66,0.17
Nedd4l,9.45,9.43,9.52,1.43,1.44,1.01,0.95
Acsf2,9.43,8.04,7.83,0.83,0.74,1.23,1.3
Myh7,9.38,10.6,9.05,0.11,0.07,0.05,0
Filip1,9.36,8.51,10.7,1.75,1.08,0.48,0.77
Eno2,9.34,8.77,8.5,1.97,1.27,0.57,0.8
Gm16617,9.31,5.95,10,1.09,1.66,0.37,0.46
Hs3st3a1,9.18,10.2,8.72,0.32,0.38,0.12,0.17
Gm37728,9.15,9.54,9.47,0.92,1.22,0.37,0.47
Itpr1,9,11.08,11.11,1.07,0.83,0.86,0.64
Yjefn3,8.97,14.18,10.73,2.53,0.93,1.61,1.23
Dtna,8.84,9.87,9.64,0.95,0.53,1.32,1.53
Carns1,8.81,10.18,9.13,1.58,1.1,0.69,0.85
Otoa,8.7,11.31,6.71,0.1,0.08,1.08,0.81
Lsmem1,8.66,9.28,7.81,0.57,0.24,1.14,1.12
Grem1,8.63,7.68,8.91,0.45,0.31,1.46,1.33
Colgalt2,8.61,9.37,8.43,0.38,0.16,0.13,0.11
Fndc5,8.57,9,7.66,0.79,0.59,1.24,1.31
Cep85l,8.45,9.44,8.07,1.35,1.64,0.65,1.02
Gm34342,8.42,9.52,2.47,1.26,0.78,0.82,0
Upp2,8.33,6.82,6.82,1.69,0.97,0.69,2.12
Tmem200b,8.32,8.13,8.87,1.07,1.45,0.33,0.14
Hmcn2,8.19,10.14,8.06,1.77,1.43,1.41,1.25
Gm13375,8.19,11.66,9.17,1.72,1.01,0.78,0.37
Gdf15,8.18,8.81,7.44,0.92,0.67,0.22,0.14
Osbpl6,8.15,8.43,9.92,0.67,1.18,0.31,0.24
Foxc2,8.14,9.94,8.75,0.79,0.65,1.36,1.55
Unc5c,7.86,5.18,5.11,0.04,0.07,0.05,0.07
Spock2,7.85,8.87,8.13,0.73,0.93,0.23,0.28
D630036G22Rik,7.71,9.15,8.89,0.65,0.42,0.22,0.24
A630077J23Rik,7.7,8.17,9.15,0.05,0,0.09,0
Usp11,7.58,7.43,6.82,1.05,0.91,0.95,1.08
Gm12349,7.57,6.35,6.11,0.68,0.78,0.97,1.55
Gm43063,7.48,5.42,8,0.89,1.42,0.44,0.2
Fbxo40,7.36,6.38,6.29,0.33,0.28,0.76,0.86
3425401B19Rik,7.35,5.96,7.54,0.29,0.25,0.93,0.6
Aqp5,7.17,6.04,5.14,0.77,0.67,1.05,0.42
Gm7497,7.16,6.83,5.23,0.42,0.3,0,0
Popdc2,7.12,9.34,6.89,0.69,0.46,1.52,0.91
Eif3s6-ps2,7.12,12.06,11.43,0,0,0,0
Myh8,7.06,8.66,6.57,0.17,0.25,0.28,0.15
Enkur,7.02,6.77,8.11,0.48,0.79,0.13,0
Tenm3,7,7.97,6.92,1.41,1.49,0.27,0.25
Bves,6.93,9.32,4.7,0.62,0.17,1.24,1.15
Tcerg1l,6.92,5.45,4.99,0.03,0.05,0,0.03
Asb10,6.91,7.76,7.46,0.5,0.47,0.99,0.87
Map7d2,6.86,8.17,6.79,0.24,0.22,0.11,0.27
1190003K10Rik,6.82,4.61,7.03,0.04,0,0,0.09
Platr32,6.78,5.95,9.39,0.07,0,0,0
Samd14,6.76,7.04,5.74,1.13,1.08,1.25,1.16
Rbm24,6.66,5.3,7.71,0.75,0.71,1.23,1.17
Xirp1,6.55,7.7,6.36,0.21,0.25,0.69,0.71
Six1,6.51,8.2,6.4,0.48,0.5,0.94,1.22
Prss23os,6.46,26.44,10.24,0.83,0.15,0,0.23
Amot,6.45,6.2,6.88,0.43,0.34,1,0.79
Rsph1,6.43,7.18,5.28,0.81,1.31,0.4,0.92
Speg,6.41,10.13,7.52,1.31,1.44,1.44,1.76
Gm25063,6.41,42.03,30.06,0,0,0,0
Actg-ps1,6.4,20.39,15.37,0.36,0,0,0
Nr3c2,6.37,5.39,5.33,1.31,0.6,0.18,0.25
Cmklr1,6.33,8.55,8.69,0.61,0.63,0.73,0.98
Myog,6.32,5.86,5.54,0.34,0.37,0.7,0.63
Has1,6.3,7.59,6.16,0.53,0.39,0.38,0.47
C4a,6.29,6.45,7.42,1.49,1.11,0.99,0.53
Gm11575,6.29,11.23,10.84,0.79,1.2,0,1.5
Hsf4,6.28,6.7,5.17,0.45,0.35,1.15,1.01
Dok7,6.26,6.58,5.96,0.44,0.38,0.14,0.15
Ptger1,6.25,8.28,6.46,1.27,0.99,0.48,0.45
Dupd1,6.21,8.43,4.32,0.61,0.2,1.01,0.81
Hapln3,6.19,8.75,8.55,1.26,1.54,0.37,0.37
Gm6768,6.18,9.29,6.37,0,0,0,0
Gm12892,6.17,10.49,7.07,0,0,0,0
Cldn2,6.08,7.09,6.64,0.05,0,0.07,0.06
Dlgap1,6.06,7.54,6.03,0.66,0.53,0.21,0.2
RP23-56N1.3,6.05,5.47,5.14,0.03,0.08,0.06,0
Padi2,6.04,5.85,5.65,0.83,0.58,1.04,1.01
Tmem202,6.04,5.98,7.69,0.93,0.8,0.49,0.38
Chst11,6.02,6.51,5.71,0.57,0.62,0.51,0.46
Etnppl,6,6.97,6.36,0.26,0.36,0,0
Chst2,5.98,7.55,6.2,0.91,1.01,0.49,0.45
Wscd2,5.9,7.62,5.98,0.84,0.99,0.59,0.36
Lrrc39,5.87,5.21,6.32,0.49,0.61,0.87,1.28
Luzp2,5.87,6.62,6.33,0.13,0.08,0.04,0.05
Musk,5.82,7.86,5.87,0.42,0.56,0.31,0.31
Gm12052,5.77,5.07,6.02,0.56,0.74,0.09,0
Faim2,5.76,5.93,5.78,0.17,0.13,0.59,0.88
Prkd1,5.75,5.14,4.94,0.84,0.58,0.31,0.32
Gm7879,5.74,7.41,4.43,0,0.31,0,0
Ppm1j,5.71,10.02,6.71,1.02,0.84,0.98,1.64
Piezo2,5.67,6.05,6.05,0.72,0.57,0.49,0.43
Gm12895,5.66,6,7.43,0.64,0.88,1.39,0.56
Gm12896,5.66,6,7.43,0.64,0.88,1.39,0.56
Gm16195,5.49,2.66,8.64,0.22,0.16,0.77,0.22
Tesk1,5.48,7.77,7.21,1.05,1.18,0.75,0.9
Gm16016,5.47,5.34,4.22,0.6,0.5,0.71,0
Gm43289,5.46,5.96,5.6,0.4,0.52,0.61,0.19
Nr2f1,5.42,5.43,5.53,1.1,0.83,0.13,0.51
Abcb4,5.4,5.74,5.23,0.42,0.75,0.27,0.26
Dusp27,5.39,5.72,5.22,0.18,0.21,0.46,0.67
Gm10382,5.3,5.41,6.03,0.26,0.35,0.12,0.16
S100a5,5.23,6.55,11.35,0,0.26,0,0
Gm9008,5.2,6.45,5.18,0.09,0.06,0.06,0.16
Gm6206,5.19,7.42,5.35,1.05,0.4,0,0
Gm17096,5.15,7.66,3.33,0.97,1.12,1.07,0.3
Clcn1,5.09,5.75,5,0.51,0.46,1,0.62
D630003M21Rik,5.05,5.89,4.98,0.78,0.69,0.21,0.11
Kcna6,5.04,6.02,5.36,1,1.09,0.58,0.48
C030013C21Rik,5.04,5.3,6.6,0.29,0.7,0.86,0.8
Gm13111,5.03,5.81,4.89,0.13,0.05,0,0
Plce1,4.97,4.97,5.51,0.57,0.85,0.35,0.71
Adgrg2,4.91,5.02,5.61,0.9,0.89,0.86,0.86
Gm17430,4.91,6.42,5.05,0.9,0,0,0
Rps27-ps1,4.88,18.64,8.32,1.63,1.47,0,0.94
Mir1192,4.84,16.9,11.88,4.17,0,0,0
Gm7809,4.84,5.38,7.52,0,0,0,0
C630043F03Rik,4.76,5.21,5.65,0.51,0.87,0.38,0.55
Slc8a3,4.63,6.57,5.29,0.16,0.12,0.1,0.12
2310008N11Rik,4.56,4.22,7.29,0.28,0.48,0.85,1.06
Epm2a,4.48,6.53,5.29,0.99,1.11,0.29,0.37
Gprasp2,4.4,6.28,5.28,0.93,0.27,0.87,0.41
Kirrel,4.31,6.19,4.85,0.67,0.41,0.93,0.83
1700049E15Rik,4.23,7.98,4.43,0.09,0,0,0
Gm28586,4.04,5.56,5.91,0.19,0.36,0.4,0
Elf3,4.02,6.73,5.05,0.28,0.19,1.03,0.63
Gm3531,3.46,9.86,5.01,0.39,0.88,0.01,0.08
Gm14519,3.1,16.18,4.36,0,0,0,0
Gm22642,2.88,6.7,6.11,1.16,0.64,0,0.85
