Gene_name,Gene_description,Stromal vehicle replicate 1,Stromal vehicle replicate 2,Stromal vehicle replicate 3,Stromal estrogen replicate 1,Stromal estrogen replicate 2,Stromal estrogen replicate 3,Der_JY01M004_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M005_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M006_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M001_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M002_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M003_(MoGene-2_0-st).Dermis.rma-gene-full-Signal
Prkcb,"protein kinase C, beta",-1.160850439,-0.376680943,-0.745779211,-1.052857511,-1.433580379,-1.046324444,10.75764,10.58129,10.18287,10.85811,9.809048,10.35559
Prkca,"protein kinase C, alpha",1.40001061,1.251456041,1.678482626,1.353974074,1.640102454,1.631896437,9.58924,9.270666,9.321619,9.411392,9.389958,9.402581
Prkar2b,"protein kinase, cAMP dependent regulatory, type II beta",0.396767379,1.696894566,1.873652552,1.691144559,1.873624405,1.649737445,8.415256,7.685017,8.093034,7.388019,7.044499,7.304424
Prkar2a,"protein kinase, cAMP dependent regulatory, type II alpha",-1.513703326,-0.834872615,-1.493775299,-1.256250592,-0.60125713,-0.858832437,11.52349,11.94446,11.72445,11.37105,11.41277,11.23253
Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",-1.323916763,-1.581483399,-1.162311783,-0.564835659,-1.18515341,-0.229871309,8.928319,8.365827,8.643323,7.686683,7.429095,7.540449
Prkar1a,"protein kinase, cAMP dependent regulatory, type I, alpha",-0.776351898,3.135863042,-0.400516201,3.240117162,2.565537302,3.744502617,9.50905,9.154662,9.29335,9.271338,9.209344,9.274635
Prkag3,"protein kinase, AMP-activated, gamma 3 non-catatlytic subunit",-4.870611627,-4.355221651,-3.453755363,-4.156526217,-2.567184378,-6.714263563,6.58392,6.416839,6.662264,6.253053,6.550546,6.468407
Prkag2,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",-0.379757196,-0.430091605,-0.312765625,-0.532265548,-0.659923929,-0.631292373,8.183959,8.295817,8.304869,8.467182,7.879593,8.269547
Prkag1,"protein kinase, AMP-activated, gamma 1 non-catalytic subunit",0.759535433,0.639222287,0.889129128,1.274366175,1.38418246,1.696825828,12.16703,11.7666,11.88587,11.80496,11.72842,11.49583
Prkacb,"protein kinase, cAMP dependent, catalytic, beta",-0.908139741,-1.230169226,-1.11084937,-0.974375416,-0.878073642,-1.165151511,10.79265,11.07845,10.73956,10.9071,10.88288,10.78684
Prkaca,"protein kinase, cAMP dependent, catalytic, alpha",-0.848725307,-1.476024231,-1.650697417,-1.607472734,-1.532565843,-2.002390913,10.70267,9.91962,10.11872,10.18571,9.560699,9.699036
Prkab2,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",1.563071483,1.773438309,1.782891242,1.346993817,1.483556918,1.370976145,8.023782,8.80607,8.866504,8.613216,8.933493,8.903724
Prkab1,"protein kinase, AMP-activated, beta 1 non-catalytic subunit",-2.465941498,-1.762888235,-1.770074063,-2.253122255,-2.099419737,-2.336488705,10.64058,10.87224,10.86557,10.75813,10.7838,10.7879
Prkaa2,"protein kinase, AMP-activated, alpha 2 catalytic subunit",-0.695730789,1.18721335,2.317410422,2.386052049,2.660119784,1.581315404,8.384807,9.436251,8.860855,9.182886,8.910083,9.147515
Prkaa1,"protein kinase, AMP-activated, alpha 1 catalytic subunit",1.626776215,1.821448248,1.834182149,1.538885992,1.581879964,1.245980645,11.30553,11.12432,11.16282,11.29285,10.97185,11.08803
Prima1,proline rich membrane anchor 1,0.248533106,1.28537427,0.88257308,1.129912439,1.203741159,-0.085873655,5.64692,6.014891,5.825051,5.767989,5.978214,5.922018
Prim2,"DNA primase, p58 subunit",1.26450844,1.56046624,1.672822917,1.792249487,1.921247607,1.376644697,9.15077,8.993117,9.219461,8.918958,9.314576,8.944584
Prim1,"DNA primase, p49 subunit",0.824316389,1.253739905,0.975750264,1.202374712,0.96316355,1.227183093,7.31787,7.194457,6.912601,7.121876,7.060311,6.44944
Prickle4,prickle homolog 4 (Drosophila),0.546105509,-0.259531258,0.782706984,0.456540429,0.275345215,3.29765962,6.587098,6.714052,6.82198,6.727965,6.902591,6.682997
Prickle3,prickle homolog 3 (Drosophila),0.750103507,0.550518491,-0.23594221,2.175347857,1.795520656,1.755724126,6.811149,6.696221,6.848077,6.397676,6.210027,6.537345
Prickle2,prickle homolog 2 (Drosophila),-0.706614537,-0.941529393,-0.673704934,-0.774621148,0.220324817,-0.745290276,8.588244,7.730999,8.124124,8.245881,7.617504,8.030732
Prickle1,prickle homolog 1 (Drosophila),-1.171889897,-1.470349871,-1.062196154,-1.156505768,-1.155817214,-1.545178447,7.416882,7.671855,7.529183,7.402486,7.497296,7.288419
Prh1,proline rich protein HaeIII subfamily 1,-2.215185304,-2.082477314,-2.052640066,-2.383682309,-0.784116429,-3.016098264,6.430226,6.612932,6.947903,6.615594,7.098423,6.627649
Prg4,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)",1.490368737,1.823729744,1.564299959,1.73820657,2.560511027,2.194956724,7.160962,6.308966,6.955701,7.582615,6.049073,7.387289
Prg3,proteoglycan 3,-0.462802212,-0.150353098,-0.500159253,-0.260701468,-0.186631441,-0.530753684,5.504078,5.53826,5.582263,5.548856,5.669661,5.465999
Prg2,"proteoglycan 2, bone marrow",0.050534774,-0.522813336,0.250190664,-0.018311179,-0.284941922,0.213164212,5.25463,5.022022,5.559035,5.261484,5.341432,5.282404
Prf1,perforin 1 (pore forming protein),-0.818361994,-0.158474419,-0.454130451,-0.743473526,0.101738164,-0.561397128,6.668766,6.469283,6.783082,6.591959,6.562676,6.642161
Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.563298149,-0.23546925,0.357292659,-0.012495983,0.001924916,0.370063059,9.423061,8.842045,8.95831,8.340708,7.975128,8.407025
Prex1,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1",-0.091739023,-0.153977683,-0.366734898,0.108836762,0.346210196,-0.394928618,7.747707,8.130383,7.979316,8.296927,8.844321,8.650931
Prepl,prolyl endopeptidase-like,-1.704225652,-1.421939424,-1.3232002,-3.082983812,-2.601699652,-2.367558508,9.328433,9.04727,9.425548,8.667385,8.777349,8.58606
Prep,prolyl endopeptidase,0.659643525,0.509996823,0.209039383,0.761851322,0.927833633,0.625472432,12.38098,12.54773,12.52314,12.5888,12.53501,12.613
Prelp,proline arginine-rich end leucine-rich repeat,-1.26412186,-0.595294844,-0.52290089,-2.72209992,0.341788825,-1.125981131,12.82787,12.44623,12.66374,12.60033,12.43129,12.55919
Prelid2,PRELI domain containing 2,0.164719221,0.039922197,0.412439198,0.466392423,0.137138668,0.586771275,4.871819,4.570981,4.596378,4.664363,4.763304,4.804452
Prelid1,PRELI domain containing 1,-1.122090898,-1.222688496,-1.285357132,0.254948639,0.092228832,0.536502171,12.74934,12.47606,12.65071,12.43396,12.22509,12.23233
Preb,prolactin regulatory element binding,-1.476003335,-0.266188568,0.052311559,-0.740575549,-0.913864277,-0.909227921,9.441399,9.74212,9.508095,9.608863,9.647685,9.473701
Prdx6b,peroxiredoxin 6B,-1.215698285,-1.339138774,-1.294194121,-1.106063981,-1.89458199,-1.374194884,5.488386,5.78126,5.870214,5.479491,5.496825,5.924989
Prdx6,peroxiredoxin 6,-0.797871257,-0.851250167,-0.506124647,-1.750896747,-1.553455976,-1.888322234,10.2517,10.41449,10.64128,10.60903,10.61396,11.14587
Prdx5,peroxiredoxin 5,-2.307288857,-2.59118631,-2.911257874,-2.239959469,-2.343335434,-2.390325637,11.01484,10.73069,10.73722,11.03881,10.58353,10.71794
Prdx4,peroxiredoxin 4,0.399165717,0.465404332,-0.22361849,0.638480189,0.673310709,0.741244681,7.412276,7.062771,7.221807,7.015751,6.843975,6.844817
Prdx3,peroxiredoxin 3,1.392817229,1.619655637,1.586449457,1.528868247,1.854047309,1.839336959,11.03019,11.37732,11.1855,11.16858,11.24192,11.04074
Prdx2,peroxiredoxin 2,-0.901662937,-1.150794369,-0.795434861,-0.980164497,-1.148493119,-1.057231479,9.957161,9.357017,9.583517,9.435758,8.283184,8.885824
Prdx1,peroxiredoxin 1,0.332419506,0.361553659,0.497712437,0.68820173,0.460371511,0.571914076,13.00174,12.88086,13.03436,12.85514,13.08669,12.93591
Prdm9,PR domain containing 9,0.562551513,-0.028889352,-0.261058728,0.333803749,-0.03048831,0.338365127,5.857635,5.78233,5.785769,5.701872,5.982954,5.879731
Prdm8,PR domain containing 8,-0.55906731,-0.655711117,1.710627965,0.290607016,-0.550120446,-0.419793254,6.431462,6.395339,6.29112,7.629318,7.613454,7.53105
Prdm6,PR domain containing 6,1.914004825,2.235313121,1.837979527,2.290385416,2.88199102,2.182153616,7.651296,8.12001,7.713506,7.92633,7.932481,8.060629
Prdm5,PR domain containing 5,1.815727449,1.891403495,1.86801988,2.108433699,2.143629442,2.264676101,8.889256,9.176881,8.865771,8.920564,8.921064,8.710084
Prdm4,PR domain containing 4,2.222856944,2.657883371,2.398793782,3.200853493,2.739612751,2.104339725,9.939564,10.37727,10.27733,10.24409,10.42034,10.40885
Prdm2,"PR domain containing 2, with ZNF domain",0.553739075,0.712224765,0.359981917,-3.889924027,0.266829399,0.316268859,8.816568,9.156372,8.871387,9.28249,9.308,9.243422
Prdm16,PR domain containing 16,-1.133436259,-0.682250701,0.103572111,-1.347328631,-0.616987161,-1.979459261,7.218487,7.499244,7.023774,7.192272,7.346192,7.141768
Prdm15,PR domain containing 15,-0.083606384,-0.530512168,0.477191683,1.647477024,1.617265664,2.346708427,8.083146,7.990796,8.073119,8.418456,7.95276,8.249913
Prdm14,PR domain containing 14,0.007045047,0.333561539,-0.301284006,0.254276832,0.273223961,0.099921709,6.175972,6.029788,6.065284,6.115817,6.213538,6.317804
Prdm13,PR domain containing 13,-0.447515819,-0.531414963,-0.332240805,-0.933114419,-0.633265192,-0.64549371,6.309639,6.562043,6.588144,6.44604,6.862813,6.3411
Prdm12,PR domain containing 12,0.198029309,0.057641354,-0.555734046,-0.40236497,0.284825028,0.061785833,6.77881,7.049509,6.843218,6.820633,7.052073,6.931448
Prdm11,PR domain containing 11,0.316671112,0.633536148,0.183283007,1.381477251,1.422692561,1.857512749,7.244694,7.686009,7.44739,7.63102,7.711314,7.60738
Prdm10,PR domain containing 10,-0.95715546,2.085983449,-0.202585984,1.81425248,1.17144553,-1.420286528,9.114541,8.307035,8.698372,8.858897,8.090166,8.565773
Prdm1,"PR domain containing 1, with ZNF domain",-0.496905102,-0.102140228,-0.23246802,-1.13279684,0.002975294,0.382344081,8.925437,10.35176,9.495938,10.97035,10.89881,10.81244
Prcp,prolylcarboxypeptidase (angiotensinase C),1.156931321,1.150969223,1.220504798,1.277923778,1.597031048,2.405425111,9.05747,8.678578,8.920069,8.862754,8.644427,8.698424
Prcc,papillary renal cell carcinoma (translocation-associated),1.517157466,1.420599107,1.917506087,1.591316391,2.029487714,1.961866354,9.964936,9.643753,9.868737,9.810006,9.375216,9.568649
Prc1,protein regulator of cytokinesis 1,-1.379283884,-1.546541143,-1.241558631,-1.878959454,-2.036656131,-2.115666911,5.593886,5.413974,5.623514,5.659248,5.573207,5.60501
Prb1,proline-rich protein BstNI subfamily 1,0.019748605,0.324583008,-0.448541575,0.670470819,-0.455045182,0.244095958,4.844964,5.812908,4.973087,6.091375,5.028622,5.147686
Prap1,proline-rich acidic protein 1,-6.609157237,-6.167867034,-5.772177913,-7.551979875,-7.382980011,-7.131175003,6.236603,6.326421,6.561948,6.48017,6.467052,6.356562
Pramel7,preferentially expressed antigen in melanoma like 7,-0.39528763,0.069350793,0.223346063,0.074416671,-0.328166467,0.21795536,4.923636,4.944242,5.1192,5.073378,5.298841,4.88795
Pramel6,preferentially expressed antigen in melanoma like 6,0.556768808,0.65961474,0.441525181,0.287137067,0.36450821,0.531943541,4.883463,4.816831,4.968358,4.562524,4.675094,4.860806
Pramel5,preferentially expressed antigen in melanoma like 5,-0.05475144,0.160389802,0.18776484,0.317253816,0.358452951,-0.046600532,4.56312,4.373066,4.427799,4.131783,4.375294,4.472658
Pramel3,preferentially expressed antigen in melanoma-like 3,-0.6313284,-0.894495905,-0.860414404,-0.53000982,-0.746076753,-0.755143529,3.142576,2.599466,3.147214,3.174887,3.216401,2.975986
Pramel1,preferentially expressed antigen in melanoma-like 1,-1.78403608,-1.936116718,-1.682514664,-2.226314496,-2.212009502,-1.883153921,5.643466,5.778949,5.723797,5.582603,5.74743,5.788141
Pramel,preferentially expressed antigen in melanoma-like,-1.214682584,-0.282900659,-0.565860014,-1.456011369,-0.933583675,-0.38492625,4.811065,5.010729,4.645279,4.811458,4.661805,5.017491
Pramef8,PRAME family member 8,0.436839182,0.471592708,0.468298388,0.351723741,-0.033118868,1.006494719,9.162434,9.482677,9.252603,9.52243,9.802818,9.649979
Pramef17,XPRAME family member 17,-0.030445598,0.333051297,0.313277971,-0.089427209,-0.25033128,0.124435393,2.758179,2.563354,2.960541,2.618023,2.403952,3.294809
Pramef12,PRAME family member 12,-0.440546407,-0.484478307,-0.510058609,-0.612424072,-0.748504085,-0.307892694,5.33559,5.363433,5.495111,5.26367,5.634795,5.318956
Prame,preferentially expressed antigen in melanoma,-1.206099166,-1.096758877,-1.392015948,-0.744028416,-1.345262391,-1.163207575,4.026886,3.796265,3.86988,3.969758,3.920486,3.419048
Pram1,PML-RAR alpha-regulated adaptor molecule 1,-2.824416484,-2.641812461,-1.996753595,-3.087830713,-2.02812289,-2.515632604,5.915671,5.67434,5.891711,6.006907,5.859996,5.805571
Praf2,PRA1 domain family 2,0.716616692,0.666119478,-0.349425092,1.884173363,1.918210248,2.762807375,10.79109,10.20269,10.4282,9.9942,9.432319,9.588816
Pqlc3,PQ loop repeat containing,2.232147046,2.08765393,1.861271876,2.329797894,2.34699396,1.882991166,8.033708,7.415023,7.812481,7.301985,6.958381,7.613226
Pqlc2,PQ loop repeat containing 2,1.496103195,1.203945756,-0.981476765,3.062420074,2.109031757,2.19704517,10.09024,9.017202,9.649807,9.690814,9.110694,9.301618
Pqlc1,PQ loop repeat containing 1,-0.223425475,-0.067900605,-0.60121298,-0.26669103,-0.528033215,-0.431375115,8.218325,8.395061,8.40432,8.190048,8.207436,8.078871
Pqbp1,polyglutamine binding protein 1,0.80534661,0.416660089,0.169557185,0.76622591,1.60937008,1.203465773,10.05272,9.550478,9.660183,9.720991,9.285664,9.475089
Ppy,pancreatic polypeptide,-3.272967004,-2.301983449,-1.402978476,-3.981249438,0.170568957,-2.565732876,7.132635,7.369833,7.305743,7.191538,7.241017,7.44438
Ppwd1,peptidylprolyl isomerase domain and WD repeat containing 1,1.192393269,1.188571365,1.319683545,1.145048211,0.979222627,1.274560421,8.851418,8.58225,8.639835,8.600421,8.378698,8.67555
Pptc7,PTC7 protein phosphatase homolog (S. cerevisiae),-0.455832107,1.003911208,2.241114037,2.141469686,2.000266504,2.55678704,9.34357,10.21907,9.657659,9.892708,10.07404,10.04743
Ppt2,palmitoyl-protein thioesterase 2,1.502638685,1.542361055,1.158059215,2.294720718,2.181351465,1.890829917,9.135709,8.545114,8.724735,8.682294,7.835845,8.152732
Ppt1,palmitoyl-protein thioesterase 1,-0.055491169,-0.194526461,-0.814129628,-0.197424599,-0.272001846,0.006483906,11.00341,9.932457,10.49596,10.14177,9.519459,10.02607
Pprc1,"peroxisome proliferative activated receptor, gamma, coactivator-related 1",2.246120928,2.393120581,2.602520429,3.055628841,3.515427105,2.916089768,9.862267,10.15507,10.07864,10.27684,10.09768,10.30543
Ppp6r3,"protein phosphatase 6, regulatory subunit 3",-2.61784056,-1.848252798,-1.99329052,-2.201459497,-1.947489867,-2.18693712,11.07931,11.19519,11.15616,11.27116,11.44915,11.32362
Ppp6r2,"protein phosphatase 6, regulatory subunit 2",-0.381121007,0.74145401,1.153297304,-1.225785511,0.095230464,-0.80907543,8.894868,8.464148,8.648119,8.573372,8.247711,8.62454
Ppp6r1,"protein phosphatase 6, regulatory subunit 1",-1.88140681,-1.899875417,-1.985236606,-2.031936908,-2.77165135,-1.371111162,11.45788,11.34291,11.30158,11.46286,11.40402,11.27868
Ppp6c,"protein phosphatase 6, catalytic subunit",0.437765667,0.477289156,0.691716165,0.061115351,0.009567437,0.376368907,11.14692,11.15865,11.1298,11.20973,11.20046,10.98481
Ppp5c,"protein phosphatase 5, catalytic subunit",0.120335275,0.355085024,0.212712568,0.653802941,0.346718365,0.387859042,11.1603,11.31008,11.12205,11.35922,11.31448,11.17236
Ppp4r4,"protein phosphatase 4, regulatory subunit 4",-1.952741824,-1.315837942,-1.227276664,-2.003146579,-1.58043331,-2.299786877,6.619069,5.939737,6.32907,6.65539,5.600233,6.240168
Ppp4r2,"protein phosphatase 4, regulatory subunit 2",2.032007293,1.999018832,2.059601703,2.290819686,3.385832273,2.394302538,11.29286,11.69146,11.4038,11.55546,11.75364,11.67025
Ppp4r1l-ps,"protein phosphatase 4, regulatory subunit 1-like, pseudogene",-0.278248807,-0.719136504,2.937790789,0.270686249,-0.203888274,1.502734312,7.120578,7.119388,7.307736,7.057961,7.001183,7.147791
Ppp4r1,"protein phosphatase 4, regulatory subunit 1",-0.284073113,-0.295809018,-0.127686549,-0.136730441,-0.085579013,-0.246397246,11.17502,11.30123,11.15305,11.08615,11.03568,11.07038
Ppp4c,"protein phosphatase 4, catalytic subunit",-0.535091338,-0.559015351,-1.539960013,0.383029145,0.192421496,-0.192570024,10.81978,11.17317,11.14205,10.82946,11.1945,11.08221
Ppp3r2,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type II)",-1.078063153,-1.179055727,-1.300977897,-1.332983622,-2.23013138,-2.416248551,5.70369,5.600299,5.78873,5.716137,5.625428,5.506228
Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",0.103264603,-0.424360632,0.016008352,-0.069430711,-0.078254987,-0.138508873,10.34488,10.09891,10.24551,10.30558,9.816167,10.08525
Ppp3cc,"protein phosphatase 3, catalytic subunit, gamma isoform",0.430744586,0.456109696,0.563753425,0.57055173,0.454960704,0.508244855,8.539403,8.766109,8.670728,8.226214,8.614085,8.253167
Ppp3cb,"protein phosphatase 3, catalytic subunit, beta isoform",0.138552492,-0.440385422,0.137713932,-0.993956623,-0.210055319,-0.213745177,11.35458,11.67725,11.493,11.42705,11.60594,11.27954
Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",-1.844584549,-1.92711626,-1.410630993,-1.602811779,-1.805034445,-1.893452521,10.52709,10.46326,10.34368,10.22628,9.926615,10.14305
Ppp2r5e,"protein phosphatase 2, regulatory subunit B (B56), epsilon isoform",0.080344995,0.195178265,-0.143465625,-1.305031116,0.017594179,-0.356580925,9.667702,9.75845,9.595411,9.824512,9.775856,9.83716
Ppp2r5d,"protein phosphatase 2, regulatory subunit B (B56), delta isoform",-1.684912109,-1.941876782,-1.639472262,-1.509659066,-1.654795942,-1.903802515,10.19176,9.988029,10.04115,9.995996,9.577525,9.839322
Ppp2r5c,"protein phosphatase 2, regulatory subunit B (B56), gamma isoform",-0.312492741,0.069702286,-0.178653483,-0.269474835,-0.253413351,-0.021771263,9.970903,9.701917,9.838266,9.822885,9.756582,9.647461
Ppp2r5b,"protein phosphatase 2, regulatory subunit B (B56), beta isoform",-1.204819781,-1.399331519,-1.584551753,-1.404255902,-0.962072931,0.317829158,10.31959,9.188077,9.815661,9.604044,8.777123,9.223549
Ppp2r5a,"protein phosphatase 2, regulatory subunit B (B56), alpha isoform",-0.770171965,-0.430825323,-0.885673989,-0.220380733,-0.789773755,-0.443250416,10.86803,10.90104,10.78736,10.92403,11.00437,11.08857
Ppp2r4,"protein phosphatase 2A, regulatory subunit B (PR 53)",-1.688900504,-1.795595894,-1.67335964,-1.781336718,-1.513629847,-1.85039618,10.08139,10.21366,10.03019,9.934907,9.757473,9.783361
Ppp2r3d,"protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta",0.60690933,1.947565822,1.241571538,2.886628433,-1.40557078,-1.115323383,8.830448,8.563745,8.728148,8.849282,8.728623,8.956287
Ppp2r3c,"protein phosphatase 2, regulatory subunit B'', gamma",-0.958977825,-1.214473276,-0.403171686,-1.208477859,-1.681094311,-1.419600865,8.823907,8.801495,8.836773,8.771355,8.780624,8.764149
Ppp2r3a,"protein phosphatase 2, regulatory subunit B'', alpha",1.360567667,2.992059933,2.624111751,0.531995849,0.473592808,0.169793473,8.483759,8.403321,8.346548,8.335249,8.24161,8.299339
Ppp2r2d,"protein phosphatase 2, regulatory subunit B, delta isoform",-0.291532286,-0.260083586,-0.376088781,-0.45010365,-0.614039791,-0.643865004,8.12586,7.915298,8.068604,8.128664,8.085512,7.926429
Ppp2r2c,"protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), gamma isoform",-2.720881649,-2.818138252,-2.591475325,-3.005309815,-2.74021494,-2.556134883,8.098468,8.139634,7.954051,9.343672,8.282846,9.028926
Ppp2r2b,"protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform",0.424948634,0.411658278,0.282608524,1.112033734,0.642061403,0.340719697,5.179133,5.140569,4.761673,4.916889,4.99427,4.741893
Ppp2r2a,"protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform",-0.273349493,-0.271781257,0.009155667,-0.710826055,-0.637769656,-0.901596433,9.211492,9.630305,9.505484,9.625642,9.974843,9.652868
Ppp2r1b,"protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform",1.431672674,2.313695679,0.213542398,0.038970935,0.700796296,0.058821696,10.30117,10.45864,10.32966,10.25133,10.60347,10.35705
Ppp2r1a,"protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform",-0.509766608,-0.536295656,-0.322698621,-0.813853231,-0.714813663,-0.995309347,13.03639,13.01454,13.04033,12.95886,12.94174,12.97143
Ppp2cb,"protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform",-1.030201518,-0.780546957,-0.342978899,-0.90796856,-0.966087356,-1.27469762,11.36353,11.58565,11.52457,11.44411,11.45249,11.3988
Ppp2ca,"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform",0.543110759,1.541541738,0.34733785,1.01553884,0.573749494,1.207258404,9.811328,9.421952,9.563513,9.513069,9.570982,9.428818
Ppp1r9b,"protein phosphatase 1, regulatory subunit 9B",-1.834324851,-1.976792635,-1.941521243,-1.453896353,-1.302461851,-1.619930736,9.069068,9.400586,9.25745,9.082052,9.030369,9.03574
Ppp1r9a,"protein phosphatase 1, regulatory (inhibitor) subunit 9A",-1.200371054,-1.699645856,-1.426348212,-1.43042908,-0.950882637,-0.35423987,6.69722,6.902872,6.944708,6.780476,6.365713,6.480403
Ppp1r8,"protein phosphatase 1, regulatory (inhibitor) subunit 8",1.174063805,0.816846296,0.966122257,1.209685756,1.009494899,1.160140707,9.14282,9.395525,9.371774,9.499598,9.459319,9.311298
Ppp1r7,"protein phosphatase 1, regulatory (inhibitor) subunit 7",0.050579539,3.5516063,1.082998596,3.03078801,4.998315931,3.927415568,10.8896,11.0257,10.88155,10.73587,11.00252,10.65174
Ppp1r42,"protein phosphatase 1, regulatory subunit 42",-1.122608762,-1.648667607,-1.318169661,-0.844679003,-1.073585221,-1.60799163,4.70188,4.656712,4.809446,4.640537,4.577385,4.71002
Ppp1r3g,"protein phosphatase 1, regulatory (inhibitor) subunit 3G",1.105779182,0.462985495,1.163745797,-0.07179886,0.67029336,0.247231006,5.966724,5.916118,6.042384,6.170959,6.226604,6.015002
Ppp1r3f,"protein phosphatase 1, regulatory (inhibitor) subunit 3F",-1.275392656,-1.233381395,-1.022777481,-1.223666,-1.312892769,-1.265995286,6.000633,6.129606,6.202881,6.399976,6.512316,6.03416
Ppp1r3e,"protein phosphatase 1, regulatory (inhibitor) subunit 3E",-0.593627964,-0.574711452,-0.721655614,-0.592855478,-0.219668307,-0.53262884,7.57356,7.986359,7.802123,7.662552,7.263586,7.641112
Ppp1r3d,"protein phosphatase 1, regulatory subunit 3D",0.152393827,1.463501547,1.379155624,0.178864744,1.30105365,2.633304912,6.94944,7.205441,7.248352,7.390567,7.16655,7.338758
Ppp1r3c,"protein phosphatase 1, regulatory (inhibitor) subunit 3C",2.161566166,2.492391412,2.312533161,1.616224532,2.53076175,3.103666345,7.289435,6.766861,6.779725,6.3392,6.786928,6.566163
Ppp1r3b,"protein phosphatase 1, regulatory (inhibitor) subunit 3B",-0.644021787,-0.613700858,-0.442744088,-1.83775,-1.427660013,-1.693311008,6.844426,6.7286,6.686987,6.761437,6.721875,6.72111
Ppp1r3a,"protein phosphatase 1, regulatory (inhibitor) subunit 3A",-0.095113164,-0.398999878,-0.579854489,-0.392750451,0.058245766,-0.560916274,3.41454,3.51624,3.547641,3.663861,3.820079,3.338841
Ppp1r37,"protein phosphatase 1, regulatory subunit 37",0.115238744,1.287575507,-0.135357374,3.283521339,1.137110403,0.359828426,9.964054,10.11277,10.05774,9.949469,9.956221,10.02916
Ppp1r36,"protein phosphatase 1, regulatory subunit 36",-4.037070274,-4.033356209,-3.733164825,-4.992911833,-5.097041291,-4.703179547,5.124658,4.995194,5.273242,4.886605,5.256995,5.113181
Ppp1r35,"protein phosphatase 1, regulatory subunit 35",-0.268605464,-0.233429796,-0.607599774,-0.228928478,0.205180611,1.074670189,8.546907,8.386668,8.50087,8.446606,7.918104,8.263792
Ppp1r32,"protein phosphatase 1, regulatory subunit 32",-5.292500092,-5.677127225,-5.172375321,-6.602128605,-6.278689857,-6.693876785,6.926156,7.087773,7.173415,7.081483,7.302001,7.218122
Ppp1r2-ps9,"protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 9",-2.624094475,-2.769822222,-2.495605639,-3.003039106,-2.284635499,-2.298302029,5.45746,5.196226,5.663277,5.362351,5.134662,5.430434
Ppp1r2-ps7,"protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 7",-2.725606624,-3.111781652,-2.686153638,-3.359265192,-1.865435457,-3.586556169,3.873075,4.126856,4.013186,4.271075,4.490118,4.08945
Ppp1r27,"protein phosphatase 1, regulatory subunit 27",-1.517706437,-1.571137026,-2.347137702,0.011178436,-0.027112454,-0.304898799,5.051201,5.406091,5.647365,4.758875,5.495092,5.627619
Ppp1r26,"protein phosphatase 1, regulatory subunit 26",-1.972488901,-1.848925828,-1.67310942,-1.913322512,-2.301314087,-2.149314048,6.525702,6.480242,6.50682,6.193284,6.618506,6.402034
Ppp1r2,"protein phosphatase 1, regulatory (inhibitor) subunit 2",0.179259345,0.380740487,0.431602745,0.263302933,1.402859667,0.951051983,8.785811,9.095823,8.617351,9.289825,9.18794,9.18794
Ppp1r1c,"protein phosphatase 1, regulatory (inhibitor) subunit 1C",1.687907934,1.920459655,3.575673695,0.400092073,2.406844758,-0.300883715,5.045829,5.105461,5.417723,5.447075,5.815695,5.871162
Ppp1r1b,"protein phosphatase 1, regulatory (inhibitor) subunit 1B",-3.867806833,-3.83266235,-3.808498891,-3.958752172,-4.860806362,-4.548498068,6.922576,7.097254,7.168305,7.107261,7.159976,7.043656
Ppp1r1a,"protein phosphatase 1, regulatory (inhibitor) subunit 1A",-1.080398977,-2.484416421,-2.388497914,-2.547834889,-2.487627093,-2.461167855,6.998703,7.071519,7.061586,7.045613,7.068438,6.981672
Ppp1r18,"protein phosphatase 1, regulatory subunit 18",-0.638810098,-0.773547761,-0.293044844,0.200714357,-0.370797822,-0.596986918,10.16663,10.63241,10.44168,10.48328,10.56231,10.5643
